Model,Precision,Recall,F1-Score,PR-AUC
Logistic Regression,0.9682,0.974,0.9711,0.9959
Random Forest,0.9976,1.0,0.9988,1.0
XGBoost,0.9792,1.0,0.9895,0.9993
