Model,Precision,Recall,F1-Score,PR-AUC
Logistic Regression,0.9491,0.8664,0.9059,0.9714
Random Forest,0.9949,1.0,0.9975,0.999
XGBoost,0.9432,1.0,0.9708,0.9953
